[mask] train episodes: 8000/10000 (holdout = 2000)
=== train gdm_reacher_s15.pt (faithful recipe, goal-cond sampled gap 1..100, eps<8000) ===
[cfg] {'subgoals': 'subgoals_reacher_dense.pt', 'out': 'gdm_reacher_s15.pt', 'device': 'cuda', 'seed': 42, 'mask': 'custom', 'custom_mask_file': 'reacher_train_mask.npy', 'window_rule': 'clamp', 'subgoal_step': 15, 'latent_dim': 192, 'n_future': 3, 'wg': 1, 'hidden': 512, 'depth': 11, 'heads': 8, 'mlp_ratio': 4.0, 'goal_cond': True, 'goal_rule': 'window', 'goal_gap': 1, 'goal_gap_max': 100, 'timesteps': 1000, 'parameterization': 'eps', 'schedule': 'linear', 'min_snr_gamma': 0.0, 'sampler': 'ddim', 'normalization': 'standardize', 'epochs': 20, 'batch_size': 128, 'lr': 5e-05, 'weight_decay': 0.001, 'grad_clip': 1.0, 'lr_schedule': 'warmup_cosine', 'warmup_frac': 0.01, 'amp': True, 'ema_decay': 0.0, 'num_workers': 0, 'log_every': 500}
[data] mask=customdeg: 8000 episodes used; 1600000 (cond,target) pairs; window_rule=clamp; file_stride=1 subgoal_step=15 => subgoal horizon = 15 frames  [GOAL-COND ablation, goal_rule=window gap=1]
[norm] native ||z|| mean=13.79 (sqrt(D)=13.86); standardize per-dim (mean|.|=0.035, std mean=0.993)
[model] GDM (DiT) head params = 53.44M (hidden=512 depth=11 heads=8); diffusion T=1000 param=eps schedule=linear sampler=ddim norm=standardize min_snr_gamma=0.0
[sched] warmup_cosine: total_steps=250000 warmup=2500 peak_lr=5.0e-05 -> 0 (eta_min)
  [iter 135500] loss=0.01600 (run 0.01084, 8134s, 60ms/it)
  [iter 136000] loss=0.01018 (run 0.01083, 8164s, 60ms/it)
  [iter 136500] loss=0.00810 (run 0.01081, 8194s, 60ms/it)
  [iter 137000] loss=0.01036 (run 0.01081, 8224s, 60ms/it)
  [iter 137500] loss=0.00891 (run 0.01080, 8254s, 60ms/it)
[epoch 11/20] loss=0.01080 iters=137500 (8254s)
  [iter 138000] loss=0.00957 (run 0.01049, 8283s, 60ms/it)
  [iter 138500] loss=0.01830 (run 0.01038, 8313s, 60ms/it)
  [iter 139000] loss=0.01104 (run 0.01040, 8343s, 60ms/it)
  [iter 139500] loss=0.00923 (run 0.01037, 8372s, 60ms/it)
  [iter 140000] loss=0.00975 (run 0.01037, 8402s, 60ms/it)
  [iter 140500] loss=0.00988 (run 0.01038, 8432s, 60ms/it)
  [iter 141000] loss=0.01174 (run 0.01036, 8462s, 60ms/it)
  [iter 141500] loss=0.00885 (run 0.01036, 8491s, 60ms/it)
  [iter 142000] loss=0.01786 (run 0.01036, 8520s, 60ms/it)
  [iter 142500] loss=0.00757 (run 0.01034, 8549s, 60ms/it)
  [iter 143000] loss=0.00733 (run 0.01032, 8579s, 60ms/it)
  [iter 143500] loss=0.00617 (run 0.01030, 8609s, 60ms/it)
  [iter 144000] loss=0.00941 (run 0.01031, 8638s, 60ms/it)
  [iter 144500] loss=0.01460 (run 0.01029, 8668s, 60ms/it)
  [iter 145000] loss=0.00749 (run 0.01029, 8698s, 60ms/it)
  [iter 145500] loss=0.01024 (run 0.01028, 8728s, 60ms/it)
  [iter 146000] loss=0.00781 (run 0.01028, 8758s, 60ms/it)
  [iter 146500] loss=0.00767 (run 0.01026, 8787s, 60ms/it)
  [iter 147000] loss=0.01059 (run 0.01026, 8817s, 60ms/it)
  [iter 147500] loss=0.00887 (run 0.01025, 8847s, 60ms/it)
  [iter 148000] loss=0.00789 (run 0.01024, 8877s, 60ms/it)
  [iter 148500] loss=0.01649 (run 0.01022, 8907s, 60ms/it)
  [iter 149000] loss=0.01089 (run 0.01021, 8937s, 60ms/it)
  [iter 149500] loss=0.00815 (run 0.01020, 8967s, 60ms/it)
  [iter 150000] loss=0.00740 (run 0.01019, 8997s, 60ms/it)
[epoch 12/20] loss=0.01019 iters=150000 (8997s)
  [iter 150500] loss=0.01433 (run 0.01012, 9027s, 60ms/it)
  [iter 151000] loss=0.00860 (run 0.01004, 9056s, 60ms/it)
  [iter 151500] loss=0.01335 (run 0.01000, 9086s, 60ms/it)
  [iter 152000] loss=0.00973 (run 0.00992, 9116s, 60ms/it)
