env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
pusht,gcsurv_tau0.30,150,8,42|43|44|45|46|47|48|49,93.99,0.35,93.75|94.14|92.58|94.92|94.53|92.58|95.31|94.14,0.711
pusht,gcsurv_tau0.40,150,8,42|43|44|45|46|47|48|49,93.60,0.55,94.92|91.80|93.75|92.97|96.09|91.41|93.75|94.14,0.629
pusht,random,150,8,42|43|44|45|46|47|48|49,0.20,0.10,0.39|0.78|0.39|0.00|0.00|0.00|0.00|0.00,
reacher,random,25,8,42|43|44|45|46|47|48|49,11.43,1.35,12.50|8.59|17.19|7.81|8.59|17.19|10.16|9.38,
reacher,random,50,8,42|43|44|45|46|47|48|49,10.25,1.03,7.03|13.28|12.50|9.38|10.94|6.25|14.06|8.59,
reacher,coin0.3,100,8,42|43|44|45|46|47|48|49,89.16,0.76,90.62|92.19|89.84|88.28|85.16|89.84|89.84|87.50,0.498
reacher,coin0.5,100,8,42|43|44|45|46|47|48|49,90.82,0.55,88.28|90.62|92.97|90.62|89.84|92.97|90.62|90.62,0.613
reacher,coin0.7,100,8,42|43|44|45|46|47|48|49,93.36,0.39,92.97|92.97|94.53|91.41|94.53|94.53|92.97|92.97,0.748
reacher,ffjepa_s10k8,100,8,42|43|44|45|46|47|48|49,95.22,0.62,92.97|95.31|94.53|97.66|96.88|93.75|93.75|96.88,
reacher,gcidm_s1,100,8,42|43|44|45|46|47|48|49,96.88,0.00,96.88|96.88|96.88|96.88|96.88|96.88|96.88|96.88,
reacher,gcidm_s2,100,8,42|43|44|45|46|47|48|49,95.31,0.00,95.31|95.31|95.31|95.31|95.31|95.31|95.31|95.31,
reacher,gcsurv_S20,100,8,42|43|44|45|46|47|48|49,57.13,1.34,53.12|54.69|65.62|57.03|54.69|57.03|57.81|57.03,0.479
reacher,gcsurv_S5,100,8,42|43|44|45|46|47|48|49,97.07,0.25,96.88|96.88|96.88|97.66|98.44|96.88|96.88|96.09,0.669
reacher,gcsurv_coin0.2,100,8,42|43|44|45|46|47|48|49,92.28,0.50,92.97|92.19|93.75|94.53|90.62|92.19|90.62|91.41,0.428
reacher,gcsurv_coin0.4,100,8,42|43|44|45|46|47|48|49,93.85,0.40,92.97|95.31|93.75|95.31|93.75|92.97|92.19|94.53,0.530
reacher,gcsurv_coin0.6,100,8,42|43|44|45|46|47|48|49,95.70,0.44,96.09|95.31|96.09|96.88|95.31|96.09|92.97|96.88,0.654
reacher,gcsurv_coin0.8,100,8,42|43|44|45|46|47|48|49,96.58,0.14,96.88|96.09|96.09|96.88|96.09|96.88|96.88|96.88,0.813
reacher,gcsurv_k1,100,8,42|43|44|45|46|47|48|49,85.06,0.99,87.50|81.25|84.38|84.38|81.25|86.72|89.06|85.94,1.000
reacher,gcsurv_k2,100,8,42|43|44|45|46|47|48|49,85.55,1.09,88.28|82.03|84.38|85.16|81.25|86.72|90.62|85.94,1.000
reacher,gcsurv_k8,100,8,42|43|44|45|46|47|48|49,87.40,1.12,84.38|89.84|84.38|85.16|84.38|89.06|92.19|89.84,0.593
reacher,gcsurv_s1,100,8,42|43|44|45|46|47|48|49,92.77,0.59,92.19|92.19|90.62|92.97|96.09|91.41|93.75|92.97,0.569
reacher,gcsurv_s2,100,8,42|43|44|45|46|47|48|49,91.80,0.44,92.19|90.62|92.97|89.84|92.19|91.41|93.75|91.41,0.563
reacher,gcsurv_tau0.10,100,8,42|43|44|45|46|47|48|49,94.82,0.33,96.09|94.53|93.75|94.53|93.75|96.09|95.31|94.53,0.759
reacher,gcsurv_tau0.15,100,8,42|43|44|45|46|47|48|49,93.65,0.60,94.53|92.19|91.41|96.09|95.31|94.53|92.19|92.97,0.655
reacher,gcsurv_tau0.25,100,8,42|43|44|45|46|47|48|49,91.60,0.78,94.53|89.84|93.75|90.62|92.97|89.06|92.97|89.06,0.510
reacher,gcsurv_tau0.30,100,8,42|43|44|45|46|47|48|49,91.02,1.01,94.53|89.06|91.41|86.72|93.75|90.62|93.75|88.28,0.469
reacher,gcsurv_tau0.40,100,8,42|43|44|45|46|47|48|49,90.14,1.03,88.28|93.75|86.72|85.94|92.19|91.41|92.97|89.84,0.417
reacher,random,100,8,42|43|44|45|46|47|48|49,11.13,0.78,10.94|12.50|10.16|14.06|13.28|10.94|10.16|7.03,
reacher,timing_ffjepa_s25,100,1,42,87.50,nan,87.50,
reacher,timing_flat_rh2,100,1,42,65.62,nan,65.62,
reacher,timing_flat_rh5,100,1,42,79.69,nan,79.69,
reacher,timing_router,100,1,42,95.31,nan,95.31,0.786
reacher,timing_surveyor,100,1,42,89.06,nan,89.06,0.624
reacher,coin0.3,150,8,42|43|44|45|46|47|48|49,89.16,0.58,89.06|89.84|90.62|87.50|90.62|85.94|89.84|89.84,0.489
reacher,coin0.5,150,8,42|43|44|45|46|47|48|49,91.01,0.44,90.62|90.62|93.75|91.41|89.84|90.62|91.41|89.84,0.603
reacher,coin0.7,150,8,42|43|44|45|46|47|48|49,90.33,0.64,89.84|89.06|89.84|89.06|92.19|93.75|88.28|90.62,0.741
reacher,ffjepa_s10k8,150,8,42|43|44|45|46|47|48|49,92.68,0.71,92.97|89.84|91.41|92.97|95.31|95.31|90.62|92.97,
reacher,gcidm_s1,150,8,42|43|44|45|46|47|48|49,96.88,0.00,96.88|96.88|96.88|96.88|96.88|96.88|96.88|96.88,
reacher,gcidm_s2,150,8,42|43|44|45|46|47|48|49,95.31,0.00,95.31|95.31|95.31|95.31|95.31|95.31|95.31|95.31,
reacher,gcsurv_S20,150,8,42|43|44|45|46|47|48|49,71.49,1.65,70.31|72.66|72.66|78.91|62.50|72.66|73.44|68.75,0.501
reacher,gcsurv_S5,150,8,42|43|44|45|46|47|48|49,95.61,0.39,94.53|94.53|94.53|96.88|95.31|96.88|95.31|96.88,0.671
reacher,gcsurv_coin0.2,150,8,42|43|44|45|46|47|48|49,93.94,0.69,93.75|94.53|90.62|93.75|97.66|94.53|93.75|92.97,0.422
reacher,gcsurv_coin0.4,150,8,42|43|44|45|46|47|48|49,94.43,0.48,92.97|93.75|94.53|95.31|96.88|92.97|95.31|93.75,0.525
reacher,gcsurv_coin0.6,150,8,42|43|44|45|46|47|48|49,94.73,0.35,94.53|93.75|94.53|94.53|96.88|95.31|93.75|94.53,0.650
reacher,gcsurv_coin0.8,150,8,42|43|44|45|46|47|48|49,95.41,0.31,95.31|96.09|96.09|95.31|96.88|94.53|94.53|94.53,0.812
reacher,gcsurv_k1,150,8,42|43|44|45|46|47|48|49,89.55,0.86,89.84|89.84|85.94|93.75|90.62|86.72|90.62|89.06,1.000
reacher,gcsurv_k2,150,8,42|43|44|45|46|47|48|49,90.04,0.66,89.84|89.84|87.50|93.75|90.62|88.28|90.62|89.84,1.000
reacher,gcsurv_k8,150,8,42|43|44|45|46|47|48|49,93.46,0.53,92.97|95.31|93.75|93.75|94.53|90.62|92.19|94.53,0.639
reacher,gcsurv_s1,150,8,42|43|44|45|46|47|48|49,93.75,0.44,95.31|94.53|92.97|91.41|94.53|92.97|93.75|94.53,0.596
reacher,gcsurv_s2,150,8,42|43|44|45|46|47|48|49,93.94,0.41,92.19|94.53|94.53|95.31|94.53|93.75|94.53|92.19,0.600
reacher,gcsurv_tau0.10,150,8,42|43|44|45|46|47|48|49,94.72,0.66,95.31|96.09|90.62|96.09|96.09|95.31|93.75|94.53,0.800
reacher,gcsurv_tau0.15,150,8,42|43|44|45|46|47|48|49,94.63,0.23,93.75|95.31|93.75|94.53|95.31|95.31|94.53|94.53,0.684
reacher,gcsurv_tau0.25,150,8,42|43|44|45|46|47|48|49,93.36,0.47,92.97|92.97|93.75|90.62|95.31|93.75|93.75|93.75,0.531
reacher,gcsurv_tau0.30,150,8,42|43|44|45|46|47|48|49,93.46,0.53,91.41|92.97|95.31|92.19|95.31|93.75|94.53|92.19,0.484
reacher,gcsurv_tau0.40,150,8,42|43|44|45|46|47|48|49,92.77,0.51,93.75|91.41|90.62|92.97|92.97|92.19|95.31|92.97,0.422
reacher,random,150,8,42|43|44|45|46|47|48|49,10.94,1.41,7.03|10.16|12.50|15.62|17.19|7.81|10.94|6.25,
