file,tau,redrafts,advances,rejects,call_ratio
cubeX10_2274073_19.log,0.3,579,146,311,0.799
cubeX10_2274073_1.log,0.2,495,66,325,0.882
cubeX10_2274073_20.log,0.2,563,74,306,0.884
cubeX10_2274073_21.log,0.2,727,104,479,0.875
cubeX10_2274073_22.log,0.2,825,119,514,0.874
cubeX10_2274073_23.log,0.2,667,114,411,0.854
cubeX10_2274073_2.log,0.2,470,62,297,0.883
cubeX10_2274073_3.log,0.2,440,32,263,0.932
cubeX10_2274073_4.log,0.2,691,73,519,0.904
cubeX10_2274073_5.log,0.2,672,111,476,0.858
cubeX10_2274073_6.log,0.2,803,127,595,0.863
cubeX10_2274073_7.log,0.2,726,92,501,0.888
cubeX10_2274073_8.log,0.2,793,86,629,0.902
cubeX10_2274073_9.log,0.2,678,79,524,0.896
cubeX10_k3_seed42.log,0.2,793,86,629,0.902
cubeX10_k3_seed43.log,0.2,678,79,524,0.896
cubeX10_k3_seed44.log,0.2,806,103,637,0.887
cubeX10_k3_seed45.log,0.2,718,84,560,0.895
cubeX10_k4_seed42.log,0.2,691,73,519,0.904
cubeX10_k4_seed43.log,0.2,672,111,476,0.858
cubeX10_k4_seed44.log,0.2,803,127,595,0.863
cubeX10_k4_seed45.log,0.2,726,92,501,0.888
cubeX10_rh5_seed42.log,0.2,529,70,339,0.883
cubeX10_rh5_seed43.log,0.2,495,66,325,0.882
cubeX10_rh5_seed44.log,0.2,470,62,297,0.883
cubeX10_rh5_seed45.log,0.2,440,32,263,0.932
cubeX10_s4649_seed46.log,0.2,563,74,306,0.884
cubeX10_s4649_seed47.log,0.2,727,104,479,0.875
cubeX10_s4649_seed48.log,0.2,825,119,514,0.874
cubeX10_s4649_seed49.log,0.2,667,114,411,0.854
cubeX10_t15_seed42.log,0.15,580,52,342,0.918
cubeX10_t15_seed43.log,0.15,600,83,367,0.878
cubeX10_t15_seed44.log,0.15,708,105,464,0.871
cubeX10_t15_seed45.log,0.15,613,86,377,0.877
