=== train gdm_stride5.pt (faithful recipe, subgoal-step 5) ===
[cfg] {'subgoals': 'subgoals_dense_full.pt', 'out': 'gdm_stride5.pt', 'device': 'cuda', 'seed': 42, 'mask': '5', 'custom_mask_file': None, 'window_rule': 'clamp', 'subgoal_step': 5, 'latent_dim': 192, 'n_future': 3, 'wg': 1, 'hidden': 512, 'depth': 11, 'heads': 8, 'mlp_ratio': 4.0, 'goal_cond': False, 'goal_rule': 'final', 'goal_gap': None, 'goal_gap_max': None, 'timesteps': 1000, 'parameterization': 'eps', 'schedule': 'linear', 'min_snr_gamma': 0.0, 'sampler': 'ddim', 'normalization': 'standardize', 'epochs': 20, 'batch_size': 128, 'lr': 5e-05, 'weight_decay': 0.001, 'grad_clip': 1.0, 'lr_schedule': 'warmup_cosine', 'warmup_frac': 0.01, 'amp': True, 'ema_decay': 0.0, 'num_workers': 0, 'log_every': 500}
[data] mask=5deg: 9094 episodes used; 1100325 (cond,target) pairs; window_rule=clamp; file_stride=1 subgoal_step=5 => subgoal horizon = 5 frames
[norm] native ||z|| mean=13.81 (sqrt(D)=13.86); standardize per-dim (mean|.|=0.055, std mean=0.994)
[model] GDM (DiT) head params = 53.34M (hidden=512 depth=11 heads=8); diffusion T=1000 param=eps schedule=linear sampler=ddim norm=standardize min_snr_gamma=0.0
[sched] warmup_cosine: total_steps=171940 warmup=1719 peak_lr=5.0e-05 -> 0 (eta_min)
  [iter 54500] loss=0.01486 (run 0.02153, 3326s, 61ms/it)
  [iter 55000] loss=0.01913 (run 0.02152, 3357s, 61ms/it)
  [iter 55500] loss=0.02933 (run 0.02156, 3387s, 61ms/it)
  [iter 56000] loss=0.01835 (run 0.02156, 3417s, 61ms/it)
  [iter 56500] loss=0.02235 (run 0.02152, 3448s, 61ms/it)
  [iter 57000] loss=0.01490 (run 0.02144, 3478s, 61ms/it)
  [iter 57500] loss=0.01920 (run 0.02139, 3508s, 61ms/it)
  [iter 58000] loss=0.01911 (run 0.02135, 3539s, 61ms/it)
  [iter 58500] loss=0.01425 (run 0.02130, 3569s, 61ms/it)
  [iter 59000] loss=0.02078 (run 0.02126, 3599s, 61ms/it)
  [iter 59500] loss=0.01633 (run 0.02121, 3630s, 61ms/it)
  [iter 60000] loss=0.01479 (run 0.02116, 3660s, 61ms/it)
[epoch 07/20] loss=0.02116 iters=60179 (3671s)
  [iter 60500] loss=0.02382 (run 0.02039, 3690s, 61ms/it)
  [iter 61000] loss=0.01690 (run 0.02037, 3721s, 61ms/it)
  [iter 61500] loss=0.01293 (run 0.02016, 3751s, 61ms/it)
  [iter 62000] loss=0.01185 (run 0.02010, 3781s, 61ms/it)
  [iter 62500] loss=0.02734 (run 0.02014, 3812s, 61ms/it)
  [iter 63000] loss=0.02180 (run 0.02012, 3842s, 61ms/it)
  [iter 63500] loss=0.02983 (run 0.02011, 3872s, 61ms/it)
  [iter 64000] loss=0.02606 (run 0.02014, 3903s, 61ms/it)
  [iter 64500] loss=0.01088 (run 0.02012, 3933s, 61ms/it)
  [iter 65000] loss=0.01897 (run 0.02008, 3963s, 61ms/it)
  [iter 65500] loss=0.01346 (run 0.02002, 3994s, 61ms/it)
  [iter 66000] loss=0.01497 (run 0.01997, 4024s, 61ms/it)
  [iter 66500] loss=0.01634 (run 0.01994, 4054s, 61ms/it)
  [iter 67000] loss=0.01513 (run 0.01993, 4085s, 61ms/it)
  [iter 67500] loss=0.02333 (run 0.01991, 4115s, 61ms/it)
  [iter 68000] loss=0.01592 (run 0.01986, 4145s, 61ms/it)
  [iter 68500] loss=0.01800 (run 0.01984, 4176s, 61ms/it)
[epoch 08/20] loss=0.01980 iters=68776 (4193s)
  [iter 69000] loss=0.01619 (run 0.01889, 4206s, 61ms/it)
  [iter 69500] loss=0.01535 (run 0.01892, 4237s, 61ms/it)
  [iter 70000] loss=0.02571 (run 0.01887, 4267s, 61ms/it)
  [iter 70500] loss=0.01420 (run 0.01896, 4297s, 61ms/it)
  [iter 71000] loss=0.01767 (run 0.01907, 4328s, 61ms/it)
  [iter 71500] loss=0.00927 (run 0.01893, 4358s, 61ms/it)
  [iter 72000] loss=0.02675 (run 0.01886, 4388s, 61ms/it)
  [iter 72500] loss=0.01461 (run 0.01886, 4419s, 61ms/it)
  [iter 73000] loss=0.01694 (run 0.01880, 4449s, 61ms/it)
  [iter 73500] loss=0.01637 (run 0.01879, 4479s, 61ms/it)
  [iter 74000] loss=0.01510 (run 0.01873, 4510s, 61ms/it)
  [iter 74500] loss=0.01470 (run 0.01866, 4540s, 61ms/it)
  [iter 75000] loss=0.01076 (run 0.01862, 4570s, 61ms/it)
  [iter 75500] loss=0.01556 (run 0.01859, 4601s, 61ms/it)
  [iter 76000] loss=0.01644 (run 0.01854, 4631s, 61ms/it)
  [iter 76500] loss=0.01979 (run 0.01850, 4661s, 61ms/it)
  [iter 77000] loss=0.02389 (run 0.01846, 4691s, 61ms/it)
[epoch 09/20] loss=0.01842 iters=77373 (4713s)
  [iter 77500] loss=0.01097 (run 0.01848, 4721s, 61ms/it)
  [iter 78000] loss=0.02693 (run 0.01808, 4751s, 61ms/it)
  [iter 78500] loss=0.01458 (run 0.01787, 4781s, 61ms/it)
  [iter 79000] loss=0.01247 (run 0.01789, 4812s, 61ms/it)
  [iter 79500] loss=0.01588 (run 0.01779, 4842s, 61ms/it)
  [iter 80000] loss=0.01594 (run 0.01775, 4872s, 61ms/it)
  [iter 80500] loss=0.02319 (run 0.01779, 4903s, 61ms/it)
  [iter 81000] loss=0.01572 (run 0.01780, 4933s, 61ms/it)
  [iter 81500] loss=0.00849 (run 0.01776, 4964s, 61ms/it)
  [iter 82000] loss=0.01352 (run 0.01768, 4994s, 61ms/it)
  [iter 82500] loss=0.01788 (run 0.01762, 5024s, 61ms/it)
  [iter 83000] loss=0.01441 (run 0.01756, 5055s, 61ms/it)
  [iter 83500] loss=0.01901 (run 0.01754, 5085s, 61ms/it)
  [iter 84000] loss=0.01478 (run 0.01747, 5115s, 61ms/it)
  [iter 84500] loss=0.01074 (run 0.01745, 5146s, 61ms/it)
  [iter 85000] loss=0.01962 (run 0.01743, 5176s, 61ms/it)
  [iter 85500] loss=0.01035 (run 0.01739, 5206s, 61ms/it)
[epoch 10/20] loss=0.01736 iters=85970 (5234s)
  [iter 86000] loss=0.01379 (run 0.01726, 5236s, 61ms/it)
  [iter 86500] loss=0.01116 (run 0.01740, 5267s, 61ms/it)
  [iter 87000] loss=0.01333 (run 0.01710, 5297s, 61ms/it)
  [iter 87500] loss=0.01061 (run 0.01695, 5327s, 61ms/it)
  [iter 88000] loss=0.01175 (run 0.01685, 5358s, 61ms/it)
  [iter 88500] loss=0.01768 (run 0.01674, 5388s, 61ms/it)
  [iter 89000] loss=0.01842 (run 0.01677, 5418s, 61ms/it)
  [iter 89500] loss=0.02006 (run 0.01673, 5449s, 61ms/it)
  [iter 90000] loss=0.01256 (run 0.01666, 5479s, 61ms/it)
  [iter 90500] loss=0.01094 (run 0.01661, 5509s, 61ms/it)
  [iter 91000] loss=0.01157 (run 0.01659, 5540s, 61ms/it)
  [iter 91500] loss=0.01446 (run 0.01655, 5570s, 61ms/it)
  [iter 92000] loss=0.01358 (run 0.01655, 5600s, 61ms/it)
  [iter 92500] loss=0.01692 (run 0.01650, 5631s, 61ms/it)
  [iter 93000] loss=0.01912 (run 0.01647, 5661s, 61ms/it)
  [iter 93500] loss=0.01052 (run 0.01642, 5691s, 61ms/it)
