file,header,env,subgoal,mode,n,seed,S,eval_filter,offset,budget,epfile,sr20,sr5,srq,call_ratio,tau,k
reacher_arms_s5gdm_seed43.log,,reacher,gdm,,128,43,5,,25,50,,,,51.56,,,
reacher_arms_s5gdm_seed44.log,,reacher,gdm,,128,44,5,,25,50,,,,52.34,,,
reacher_arms_s5gdm_seed45.log,,reacher,gdm,,128,45,5,,25,50,,,,53.12,,,
reacher_arms_s5spec_seed42.log,,reacher,specaccept,,128,42,5,,25,50,,,,47.66,0.608,0.2,8
reacher_arms_s5spec_seed43.log,,reacher,specaccept,,128,43,5,,25,50,,,,51.56,0.583,0.2,8
reacher_arms_s5spec_seed44.log,,reacher,specaccept,,128,44,5,,25,50,,,,44.53,0.589,0.2,8
reacher_arms_s5spec_seed45.log,,reacher,specaccept,,128,45,5,,25,50,,,,40.62,0.574,0.2,8
reacher_audit2job_2271051_0.log,audit2 lerp frac=0.25 t100 seed=42,reacher,lerp,,128,42,10,,100,200,reacher_audit2.ep100.t0.json,,,33.59,,,
reacher_audit2job_2271051_1.log,audit2 lerp frac=0.25 t100 seed=43,reacher,lerp,,128,43,10,,100,200,reacher_audit2.ep100.t1.json,,,32.81,,,
reacher_audit2job_2271051_10.log,audit2 lerp frac=0.75 t100 seed=44,reacher,lerp,,128,44,10,,100,200,reacher_audit2.ep100.t10.json,,,53.91,,,
reacher_audit2job_2271051_11.log,audit2 lerp frac=0.75 t100 seed=45,reacher,lerp,,128,45,10,,100,200,reacher_audit2.ep100.t11.json,,,54.69,,,
reacher_audit2job_2271051_12.log,audit2 every-step k=4 t100 seed=42,reacher,gdm,,128,42,10,,100,200,reacher_audit2.ep100.t12.json,,,97.66,,,
reacher_audit2job_2271051_13.log,audit2 every-step k=4 t100 seed=43,reacher,gdm,,128,43,10,,100,200,reacher_audit2.ep100.t13.json,,,96.09,,,
reacher_audit2job_2271051_14.log,audit2 every-step k=4 t100 seed=44,reacher,gdm,,128,44,10,,100,200,reacher_audit2.ep100.t14.json,,,95.31,,,
reacher_audit2job_2271051_15.log,audit2 every-step k=4 t100 seed=45,reacher,gdm,,128,45,10,,100,200,reacher_audit2.ep100.t15.json,,,95.31,,,
reacher_audit2job_2271051_2.log,audit2 lerp frac=0.25 t100 seed=44,reacher,lerp,,128,44,10,,100,200,reacher_audit2.ep100.t2.json,,,34.38,,,
reacher_audit2job_2271051_3.log,audit2 lerp frac=0.25 t100 seed=45,reacher,lerp,,128,45,10,,100,200,reacher_audit2.ep100.t3.json,,,32.81,,,
reacher_audit2job_2271051_4.log,audit2 lerp frac=0.5 t100 seed=42,reacher,lerp,,128,42,10,,100,200,reacher_audit2.ep100.t4.json,,,44.53,,,
reacher_audit2job_2271051_5.log,audit2 lerp frac=0.5 t100 seed=43,reacher,lerp,,128,43,10,,100,200,reacher_audit2.ep100.t5.json,,,43.75,,,
reacher_audit2job_2271051_6.log,audit2 lerp frac=0.5 t100 seed=44,reacher,lerp,,128,44,10,,100,200,reacher_audit2.ep100.t6.json,,,42.97,,,
reacher_audit2job_2271051_7.log,audit2 lerp frac=0.5 t100 seed=45,reacher,lerp,,128,45,10,,100,200,reacher_audit2.ep100.t7.json,,,43.75,,,
reacher_audit2job_2271051_8.log,audit2 lerp frac=0.75 t100 seed=42,reacher,lerp,,128,42,10,,100,200,reacher_audit2.ep100.t8.json,,,57.03,,,
reacher_audit2job_2271051_9.log,audit2 lerp frac=0.75 t100 seed=43,reacher,lerp,,128,43,10,,100,200,reacher_audit2.ep100.t9.json,,,55.47,,,
reacher_auditjob_2270818_0.log,audit lerp frac=0.25 seed=42 (native t25),reacher,lerp,,128,42,10,,25,50,,,,21.09,,,
reacher_auditjob_2270818_1.log,audit lerp frac=0.25 seed=43 (native t25),reacher,lerp,,128,43,10,,25,50,,,,28.91,,,
reacher_auditjob_2270818_10.log,audit lerp frac=1.0 seed=44 (native t25),reacher,lerp,,128,44,10,,25,50,,,,93.75,,,
reacher_auditjob_2270818_11.log,audit lerp frac=1.0 seed=45 (native t25),reacher,lerp,,128,45,10,,25,50,,,,94.53,,,
reacher_auditjob_2270818_12.log,audit every-step k=8 t100 seed=42,reacher,gdm,,128,42,10,,100,200,reacher_audit.ep100.t12.json,,,95.31,,,
reacher_auditjob_2270818_13.log,audit every-step k=8 t100 seed=43,reacher,gdm,,128,43,10,,100,200,reacher_audit.ep100.t13.json,,,96.88,,,
reacher_auditjob_2270818_14.log,audit every-step k=8 t100 seed=44,reacher,gdm,,128,44,10,,100,200,reacher_audit.ep100.t14.json,,,93.75,,,
reacher_auditjob_2270818_15.log,audit every-step k=8 t100 seed=45,reacher,gdm,,128,45,10,,100,200,reacher_audit.ep100.t15.json,,,93.75,,,
reacher_auditjob_2270818_16.log,audit every-step k=8 native t25 seed=42,reacher,gdm,,128,42,10,,25,50,,,,64.84,,,
reacher_auditjob_2270818_17.log,audit every-step k=8 native t25 seed=43,reacher,gdm,,128,43,10,,25,50,,,,71.88,,,
reacher_auditjob_2270818_18.log,audit every-step k=8 native t25 seed=44,reacher,gdm,,128,44,10,,25,50,,,,73.44,,,
reacher_auditjob_2270818_19.log,audit every-step k=8 native t25 seed=45,reacher,gdm,,128,45,10,,25,50,,,,65.62,,,
reacher_auditjob_2270818_2.log,audit lerp frac=0.25 seed=44 (native t25),reacher,lerp,,128,44,10,,25,50,,,,22.66,,,
