rel,accepted,state_dist
0.105550,1,0.034419
0.116185,1,0.067447
0.108626,1,0.043111
0.469234,0,0.273862
0.190746,1,0.058723
0.077079,1,0.053352
0.094116,1,0.031764
0.184704,1,0.114536
0.079227,1,0.057490
0.181416,1,0.134919
0.260788,0,0.096365
0.281541,0,0.111355
0.850833,0,0.320001
0.127778,1,0.051182
0.209016,0,0.038181
0.129082,1,0.035599
0.753889,0,0.352235
0.079437,1,0.054527
0.415730,0,0.185264
0.040375,1,0.015130
0.256750,0,0.111592
0.174906,1,0.071058
0.107941,1,0.059670
0.230259,0,0.111866
0.046185,1,0.010984
0.175810,1,0.099843
0.385359,0,0.270983
0.074276,1,0.031217
0.185566,1,0.027113
0.367030,0,0.073083
0.091932,1,0.046282
0.279684,0,0.106822
1.426142,0,1.661980
0.447438,0,0.171051
0.036401,1,0.002455
0.087039,1,0.032692
0.223665,0,0.178482
1.416240,0,1.808701
0.055188,1,0.023762
0.355961,0,0.061288
0.252313,0,0.203307
0.251381,0,0.099513
0.167643,1,0.002888
0.265170,0,0.119749
0.289210,0,0.088193
0.138190,1,0.133620
0.226269,0,0.102340
0.285882,0,0.182216
0.378936,0,0.175207
0.372618,0,0.068868
0.121303,1,0.044280
0.253034,0,0.134040
0.566103,0,0.198627
0.131345,1,0.020693
0.416430,0,0.138047
0.232912,0,0.080151
0.053338,1,0.022262
0.115261,1,0.020784
1.392792,0,2.491567
0.311540,0,0.163734
0.115351,1,0.027037
0.158105,1,0.099231
0.480564,0,0.273936
0.353478,0,0.115704
0.159093,1,0.073693
0.338817,0,0.082266
0.147001,1,0.054580
0.100179,1,0.036572
0.320930,0,0.034246
0.397454,0,0.177668
0.111300,1,0.062275
0.099702,1,0.052845
0.033693,1,0.027293
0.156485,1,0.061592
0.272265,0,0.143840
0.030253,1,0.003319
0.145904,1,0.046880
0.223633,0,0.094642
0.095247,1,0.039929
0.566965,0,0.173851
0.169774,1,0.076523
0.022632,1,0.003794
0.388505,0,0.155377
0.035275,1,0.019901
0.267984,0,0.070379
0.835705,0,0.229410
0.090111,1,0.071873
0.530945,0,0.240778
0.228302,0,0.070795
0.238825,0,0.152115
0.032408,1,0.019454
0.324737,0,0.093471
0.360537,0,0.052243
0.114381,1,0.041477
0.079175,1,0.053628
0.383795,0,0.097942
0.052060,1,0.031813
0.052443,1,0.021069
0.370143,0,0.178069
0.082215,1,0.067190
0.255988,0,0.122681
0.459797,0,0.255259
0.171875,1,0.074434
0.586587,0,0.191074
0.027216,1,0.011489
0.057291,1,0.017789
0.056588,1,0.018207
0.237494,0,0.121869
0.158342,1,0.037661
1.370709,0,1.597525
0.444367,0,0.138309
0.403805,0,0.148298
0.036967,1,0.011552
0.134197,1,0.015179
0.097098,1,0.032555
0.273165,0,0.070454
0.057002,1,0.025960
0.132398,1,0.057039
0.076604,1,0.013329
0.146219,1,0.050045
0.046451,1,0.021032
0.324646,0,0.153151
0.202034,0,0.093303
0.270892,0,0.121537
0.292291,0,0.130067
0.213911,0,0.031897
0.140681,1,0.051715
0.217333,0,0.047165
0.128728,1,0.031397
0.151540,1,0.069182
0.023858,1,0.022722
0.359640,0,0.128514
0.085975,1,0.047574
0.291392,0,0.017517
0.147181,1,0.042646
0.154862,1,0.053464
0.199406,1,0.083907
1.366431,0,2.906733
0.023112,1,0.008229
1.284997,0,2.886133
0.428981,0,0.079834
0.362128,0,0.025026
0.282163,0,0.117434
0.143189,1,0.037419
0.052568,1,0.017941
0.081238,1,0.014531
0.466737,0,0.261781
0.199023,1,0.085149
0.089703,1,0.030923
0.116624,1,0.035996
0.329916,0,0.064224
0.200917,0,0.075788
0.302592,0,0.135185
0.082273,1,0.036750
1.162478,0,2.555866
0.267021,0,0.133618
0.127671,1,0.030089
0.135264,1,0.063592
0.055343,1,0.023531
0.143336,1,0.030761
0.174440,1,0.105810
0.367503,0,0.100898
0.199415,1,0.039785
0.699916,0,0.318110
0.227186,0,0.145452
0.526094,0,0.250028
0.306804,0,0.118887
0.074537,1,0.040410
0.096285,1,0.062347
0.140638,1,0.064536
0.114387,1,0.027648
0.544283,0,0.291129
0.077291,1,0.018197
0.144968,1,0.053453
1.348769,0,1.198400
0.436260,0,0.134799
0.077681,1,0.048752
0.262002,0,0.061138
0.105816,1,0.038748
0.225081,0,0.108672
0.020120,1,0.015878
0.154622,1,0.065882
0.102042,1,0.003435
0.324189,0,0.064171
0.170387,1,0.072003
0.198018,1,0.092745
0.108044,1,0.058644
0.121316,1,0.038856
0.152530,1,0.004498
0.229860,0,0.145879
0.423865,0,0.221649
0.336092,0,0.205390
0.124104,1,0.063076
0.074022,1,0.012816
0.123670,1,0.041889
0.166860,1,0.047741
0.385191,0,0.112295
0.484285,0,0.254609
0.120196,1,0.080754
0.155655,1,0.079042
0.280256,0,0.208877
0.077077,1,0.038440
0.133038,1,0.051318
0.222902,0,0.010457
0.069279,1,0.040441
0.215284,0,0.134802
0.196648,1,0.112167
0.190751,1,0.047079
0.057937,1,0.014715
0.136964,1,0.077203
0.200572,0,0.125947
0.089974,1,0.041128
0.054116,1,0.042526
0.206709,0,0.109293
0.023387,1,0.012080
0.203252,0,0.138512
0.239682,0,0.087837
0.125034,1,0.106151
0.190834,1,0.082273
0.126967,1,0.053819
0.089544,1,0.062255
0.202292,0,0.097086
