rel,accepted,ee_dist
0.080557,1,0.088735
0.073895,1,0.233676
0.076536,1,0.041270
0.110289,1,0.185300
0.088969,1,0.087545
0.094487,1,0.063993
0.076946,1,0.055203
0.145679,1,0.333987
0.122951,1,0.265945
0.076516,1,0.090189
0.128842,1,0.473280
0.085854,1,0.204606
0.078964,1,0.112784
0.120942,1,0.312716
0.156215,1,0.353185
0.114862,1,0.285639
0.087091,1,0.246634
0.133616,1,0.394921
0.109784,1,0.356460
0.076532,1,0.233724
0.130066,1,0.367403
0.080334,1,0.028117
0.088969,1,0.087545
0.055113,1,0.018694
0.122253,1,0.318832
0.110904,1,0.232990
0.113027,1,0.349327
0.076798,1,0.065261
0.068734,1,0.092187
0.176008,1,0.187424
0.134189,1,0.455560
0.085854,1,0.204606
0.096990,1,0.097341
0.108032,1,0.137919
0.149559,1,0.465708
0.137645,1,0.391030
0.110566,1,0.347100
0.087076,1,0.118425
0.076200,1,0.101695
0.069117,1,0.195240
0.122883,1,0.235881
0.131967,1,0.404551
0.142007,1,0.433762
0.077229,1,0.176330
0.138267,1,0.466620
0.106304,1,0.278482
0.114948,1,0.410082
0.178555,1,0.127696
0.115426,1,0.176090
0.079513,1,0.013428
0.204639,0,0.096253
0.134407,1,0.072607
0.123376,1,0.097046
0.128208,1,0.030846
0.118551,1,0.081204
0.154729,1,0.156138
0.102070,1,0.025965
0.095564,1,0.039647
0.165236,1,0.216563
0.163804,1,0.156531
0.179920,1,0.108116
0.133214,1,0.063396
0.118859,1,0.112597
0.088748,1,0.027702
0.129392,1,0.082998
0.165718,1,0.166171
0.111451,1,0.030372
0.118779,1,0.113838
0.113346,1,0.085292
0.194168,1,0.103473
0.132133,1,0.027278
0.154801,1,0.044366
0.101522,1,0.017441
0.117451,1,0.038909
0.157986,1,0.189501
0.174789,1,0.199451
0.164079,1,0.142871
0.241966,0,0.228596
0.103079,1,0.146572
0.156451,1,0.055567
0.156638,1,0.243999
0.122552,1,0.222907
0.064497,1,0.021783
0.118494,1,0.021084
0.165378,1,0.172294
0.151462,1,0.042810
0.126853,1,0.018249
0.138797,1,0.141457
0.087244,1,0.020623
0.201032,0,0.120886
0.084717,1,0.023381
0.134531,1,0.026564
0.102248,1,0.017090
0.147976,1,0.042505
0.142366,1,0.047630
0.100814,1,0.016840
0.142904,1,0.040423
0.394298,0,0.180742
0.451686,0,0.248103
0.280514,0,0.363387
0.412323,0,0.230400
0.280514,0,0.363387
0.280514,0,0.363387
0.280514,0,0.363387
0.306824,0,0.212668
0.274202,0,0.363500
0.241526,0,0.445880
0.244940,0,0.425262
0.282761,0,0.407067
0.280514,0,0.363387
0.280514,0,0.363387
0.365167,0,0.112732
0.107903,1,0.049660
0.280514,0,0.363387
0.271257,0,0.361904
0.241526,0,0.445880
0.394298,0,0.180742
0.067685,1,0.000016
0.268983,0,0.363537
0.384740,0,0.185109
0.289878,0,0.475835
0.308962,0,0.449600
0.241799,0,0.475982
0.477513,0,0.278729
0.274342,0,0.363529
0.296447,0,0.254082
0.103510,1,0.049663
0.280514,0,0.363387
0.268983,0,0.363537
0.046476,1,0.000005
0.378630,0,0.178249
0.350400,0,0.294051
0.247124,0,0.391528
0.187110,1,0.052260
0.280514,0,0.363387
0.280514,0,0.363387
0.382514,0,0.196804
0.135470,1,0.034583
0.362181,0,0.340113
0.280514,0,0.363387
0.280514,0,0.363387
0.245772,0,0.427997
0.362581,0,0.339992
0.272893,0,0.401620
0.280514,0,0.363387
0.264580,0,0.474287
0.059001,1,0.002197
0.149743,1,0.358064
0.166009,1,0.319090
0.122211,1,0.028303
0.123703,1,0.090834
0.127424,1,0.173324
0.155029,1,0.230488
0.102135,1,0.036147
0.171289,1,0.298483
0.134591,1,0.343866
0.091696,1,0.047495
0.183152,1,0.316428
0.119906,1,0.273076
0.143378,1,0.369460
0.087177,1,0.018364
0.099200,1,0.029526
0.131853,1,0.223470
0.125882,1,0.362026
0.072968,1,0.013117
0.088937,1,0.042318
0.148522,1,0.302130
0.077412,1,0.000248
0.128019,1,0.181632
0.122186,1,0.162634
0.121612,1,0.182003
0.138083,1,0.062235
0.087638,1,0.020606
0.199558,1,0.231333
0.127561,1,0.220976
0.063309,1,0.008017
0.096595,1,0.041958
0.125478,1,0.203363
0.168895,1,0.314859
0.123703,1,0.090834
0.162788,1,0.384940
0.134922,1,0.293311
0.123199,1,0.057761
0.089217,1,0.020374
0.123986,1,0.229051
0.128714,1,0.251757
0.083127,1,0.045438
0.113424,1,0.319643
0.072968,1,0.013117
0.132541,1,0.174559
0.168234,1,0.409799
0.142806,1,0.216825
0.076714,1,0.007858
0.185721,1,0.302549
0.121839,1,0.205101
0.139559,1,0.209222
0.091762,1,0.040131
0.155653,1,0.036809
0.073954,1,0.429525
0.114344,1,0.426217
0.079869,1,0.037671
0.086011,1,0.372179
0.143075,1,0.054588
0.109279,1,0.404562
0.071575,1,0.414115
0.090712,1,0.283596
0.134028,1,0.169416
0.083279,1,0.241026
0.078098,1,0.215164
0.089808,1,0.429540
0.106900,1,0.222009
0.089811,1,0.346412
0.175804,1,0.283055
0.137427,1,0.295732
0.119951,1,0.342603
0.122925,1,0.231739
0.097671,1,0.126424
0.123653,1,0.354843
0.120661,1,0.248807
0.069720,1,0.341302
0.123974,1,0.195611
0.098344,1,0.020773
0.098773,1,0.090387
0.158457,1,0.410353
0.092630,1,0.242766
0.094191,1,0.217272
0.129128,1,0.402576
0.073954,1,0.429525
0.169370,1,0.298921
0.097807,1,0.016304
0.094160,1,0.372396
0.086446,1,0.230311
0.093276,1,0.163675
0.106044,1,0.039731
0.100857,1,0.346022
0.125809,1,0.395910
0.103886,1,0.334995
0.091177,1,0.406391
0.109551,1,0.260369
0.103228,1,0.072959
0.153250,1,0.142080
0.105523,1,0.362530
0.093452,1,0.171874
0.068819,1,0.395312
0.101970,1,0.126459
0.093347,1,0.420176
0.078458,1,0.010878
0.168295,1,0.190885
0.177576,1,0.178008
0.069403,1,0.026963
0.133090,1,0.259565
0.128026,1,0.110147
0.066695,1,0.001267
0.184601,1,0.039393
0.131418,1,0.047351
0.164749,1,0.172583
0.153369,1,0.036874
0.101280,1,0.142229
0.204936,0,0.032244
0.193879,1,0.032147
0.093392,1,0.050260
0.111329,1,0.199333
0.113188,1,0.126547
0.122446,1,0.287098
0.248791,0,0.057008
0.086698,1,0.058916
0.234465,0,0.057107
0.136135,1,0.307634
0.118989,1,0.139803
0.105693,1,0.091660
0.104395,1,0.146884
0.094330,1,0.042847
0.174880,1,0.122556
0.134468,1,0.323455
0.091578,1,0.063738
0.071788,1,0.000484
0.128026,1,0.110147
0.121612,1,0.091390
0.118251,1,0.335283
0.119791,1,0.282206
0.231935,0,0.034037
0.173846,1,0.058735
0.126600,1,0.146003
0.150329,1,0.068950
0.090644,1,0.096151
0.144220,1,0.089298
0.114598,1,0.142937
0.112351,1,0.193265
0.169531,1,0.099561
0.132139,1,0.325470
0.126354,1,0.332752
0.125938,1,0.131333
0.174096,1,0.057815
0.105550,1,0.080340
0.108638,1,0.084306
0.210164,0,0.028132
0.127642,1,0.335143
0.250279,0,0.335068
0.139725,1,0.070157
0.225972,0,0.182094
0.140271,1,0.042964
0.057194,1,0.006684
0.132119,1,0.043623
0.229567,0,0.257594
0.056633,1,0.005825
0.270503,0,0.339875
0.184005,1,0.078926
0.103328,1,0.030191
0.189431,1,0.105766
0.067145,1,0.002337
0.185657,1,0.148743
0.291937,0,0.343129
0.218630,0,0.122172
0.095923,1,0.020972
0.100928,1,0.034666
0.110105,1,0.027384
0.118128,1,0.048492
0.197304,1,0.115648
0.133042,1,0.072910
0.109587,1,0.035550
0.299195,0,0.345064
0.091192,1,0.019034
0.121339,1,0.061203
0.244424,0,0.129550
0.158541,1,0.048200
0.298007,0,0.291157
0.154413,1,0.054705
0.133214,1,0.065089
0.094389,1,0.036421
0.174709,1,0.145114
0.104819,1,0.031378
0.263056,0,0.136398
0.070389,1,0.008411
0.152890,1,0.081280
0.226166,0,0.118542
0.106886,1,0.021216
0.081292,1,0.030259
0.295461,0,0.341999
0.111965,1,0.069369
0.076734,1,0.018219
0.158377,1,0.106757
0.276356,0,0.337633
0.077370,1,0.005598
0.110190,1,0.074016
0.136985,1,0.048304
0.109922,1,0.057149
0.075476,1,0.010824
0.134234,1,0.260082
0.088664,1,0.038855
0.125045,1,0.141264
0.123678,1,0.102258
0.079737,1,0.027089
0.065818,1,0.007785
0.084620,1,0.036605
0.122988,1,0.262189
0.133187,1,0.069625
0.074046,1,0.020116
0.110679,1,0.059879
0.107382,1,0.081700
0.135860,1,0.230543
0.107343,1,0.033903
0.094467,1,0.033932
0.096707,1,0.164119
0.067613,1,0.021256
0.094421,1,0.120209
0.112152,1,0.214530
0.083596,1,0.044632
0.068307,1,0.025677
0.108385,1,0.119963
0.134529,1,0.158037
0.089876,1,0.043619
0.098256,1,0.087775
0.108289,1,0.246734
0.112526,1,0.156196
0.128062,1,0.181610
0.075283,1,0.009558
0.089410,1,0.086193
0.148028,1,0.204033
0.078206,1,0.013685
0.092002,1,0.084133
0.088150,1,0.034594
0.099731,1,0.073814
0.078216,1,0.075238
0.075283,1,0.009558
0.065055,1,0.009577
0.071412,1,0.026069
0.119866,1,0.193060
0.083018,1,0.026639
0.102183,1,0.048101
0.101988,1,0.038082
0.065499,1,0.015853
0.080961,1,0.070882
0.100826,1,0.154170
0.066892,1,0.065938
0.134394,1,0.231403
0.065116,1,0.022141
0.093943,1,0.088982
